Brown University Keck/NASA Relab Spectrum LR-CMP-098/BKR1LR098
Wavelength(micron)	Reflectance
4.0073	0.39647
4.0104	0.39650
4.0135	0.39651
4.0166	0.39648
4.0197	0.39649
4.0228	0.39651
4.0259	0.39653
4.0291	0.39651
4.0322	0.39655
4.0353	0.39657
4.0385	0.39660
4.0416	0.39659
4.0448	0.39661
4.0479	0.39660
4.0511	0.39664
4.0543	0.39665
4.0574	0.39668
4.0606	0.39670
4.0638	0.39671
4.067	0.39671
4.0702	0.39676
4.0734	0.39673
4.0766	0.39675
4.0798	0.39675
4.083	0.39677
4.0862	0.39676
4.0894	0.39679
4.0927	0.39676
4.0959	0.39676
4.0991	0.39676
4.1024	0.39679
4.1056	0.39678
4.1089	0.39681
4.1121	0.39680
4.1154	0.39681
4.1187	0.39678
4.122	0.39678
4.1252	0.39677
4.1285	0.39679
4.1318	0.39676
4.1351	0.39677
4.1384	0.39677
4.1417	0.39682
4.145	0.39680
4.1483	0.39679
4.1516	0.39678
4.155	0.39678
4.1583	0.39676
4.1616	0.39676
4.165	0.39671
4.1683	0.39669
4.1717	0.39664
4.175	0.39661
4.1784	0.39655
4.1818	0.39655
4.1852	0.39651
4.1885	0.39648
4.1919	0.39642
4.1953	0.39642
4.1987	0.39638
4.2021	0.39638
4.2055	0.39638
4.2089	0.39645
4.2124	0.39653
4.2158	0.39665
4.2192	0.39665
4.2226	0.39668
4.2261	0.39665
4.2295	0.39662
4.233	0.39647
4.2365	0.39635
4.2399	0.39619
4.2434	0.39603
4.2469	0.39577
4.2503	0.39547
4.2538	0.39509
4.2573	0.39491
4.2608	0.39487
4.2643	0.39487
4.2678	0.39475
4.2714	0.39462
4.2749	0.39439
4.2784	0.39415
4.2819	0.39385
4.2855	0.39363
4.289	0.39335
4.2926	0.39305
4.2961	0.39268
4.2997	0.39232
4.3033	0.39196
4.3068	0.39165
4.3104	0.39125
4.314	0.39087
4.3176	0.39051
4.3212	0.39023
4.3248	0.38989
4.3284	0.38958
4.332	0.38925
4.3356	0.38893
4.3393	0.38860
4.3429	0.38832
4.3465	0.38803
4.3502	0.38777
4.3538	0.38744
4.3575	0.38716
4.3611	0.38684
4.3648	0.38658
4.3685	0.38629
4.3722	0.38601
4.3759	0.38570
4.3796	0.38545
4.3833	0.38517
4.387	0.38493
4.3907	0.38466
4.3944	0.38449
4.3981	0.38425
4.4019	0.38402
4.4056	0.38378
4.4094	0.38360
4.4131	0.38339
4.4169	0.38323
4.4206	0.38302
4.4244	0.38288
4.4282	0.38273
4.432	0.38260
4.4358	0.38241
4.4396	0.38228
4.4434	0.38212
4.4472	0.38201
4.451	0.38184
4.4548	0.38168
4.4586	0.38146
4.4625	0.38128
4.4663	0.38103
4.4702	0.38080
4.474	0.38052
4.4779	0.38031
4.4818	0.38003
4.4856	0.37972
4.4895	0.37940
4.4934	0.37914
4.4973	0.37879
4.5012	0.37845
4.5051	0.37808
4.509	0.37772
4.513	0.37734
4.5169	0.37698
4.5208	0.37654
4.5248	0.37613
4.5287	0.37568
4.5327	0.37527
4.5367	0.37480
4.5406	0.37437
4.5446	0.37389
4.5486	0.37338
4.5526	0.37284
4.5566	0.37236
4.5606	0.37181
4.5646	0.37127
4.5686	0.37067
4.5727	0.37011
4.5767	0.36947
4.5808	0.36885
4.5848	0.36818
4.5889	0.36755
4.5929	0.36686
4.597	0.36617
4.6011	0.36540
4.6052	0.36464
4.6093	0.36383
4.6134	0.36305
4.6175	0.36218
4.6216	0.36133
4.6257	0.36046
4.6298	0.35963
4.634	0.35873
4.6381	0.35790
4.6423	0.35707
4.6464	0.35629
4.6506	0.35551
4.6548	0.35480
4.659	0.35408
4.6631	0.35343
4.6673	0.35273
4.6715	0.35207
4.6758	0.35138
4.68	0.35071
4.6842	0.34997
4.6884	0.34929
4.6927	0.34857
4.6969	0.34787
4.7012	0.34710
4.7055	0.34635
4.7097	0.34555
4.714	0.34479
4.7183	0.34400
4.7226	0.34324
4.7269	0.34243
4.7312	0.34169
4.7355	0.34091
4.7399	0.34018
4.7442	0.33943
4.7485	0.33872
4.7529	0.33795
4.7573	0.33725
4.7616	0.33653
4.766	0.33590
4.7704	0.33521
4.7748	0.33456
4.7792	0.33388
4.7836	0.33327
4.788	0.33261
4.7924	0.33197
4.7969	0.33127
4.8013	0.33060
4.8058	0.32988
4.8102	0.32918
4.8147	0.32840
4.8191	0.32767
4.8236	0.32688
4.8281	0.32614
4.8326	0.32534
4.8371	0.32456
4.8416	0.32369
4.8462	0.32289
4.8507	0.32206
4.8553	0.32122
4.8598	0.32036
4.8644	0.31954
4.8689	0.31864
4.8735	0.31779
4.8781	0.31689
4.8827	0.31605
4.8873	0.31514
